MODULO,VERSION_ODOO,CLIENTE,ENTORNO,VERSION_MODULO,FECHA,ULTIMO_UPDATE,ESTADO,RUTA
bcv_rate_update_venezuela,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-26,,migrado,shared/bcv_rate_update_venezuela/19.0
chat_bot_integra,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-26,,migrado,shared/chat_bot_integra/19.0
chat_bot_n8n_ia,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-26,,migrado,shared/chat_bot_n8n_ia/19.0
a_hospital,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/a_hospital/18.0
backend_theme_explorer,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/backend_theme_explorer/18.0
business_intelligence_queries,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/business_intelligence_queries/18.0
chat-bot-n8n-ia,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/chat-bot-n8n-ia/18.0
chat-bot-unisa,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/chat-bot-unisa/18.0
chatter_voice_note,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/chatter_voice_note/18.0
conversion,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/conversion/18.0
delivery_orders_report,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/delivery_orders_report/18.0
evolution-api,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/evolution-api/18.0
igftpaymentmethod,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/igftpaymentmethod/18.0
pdfmake,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/pdfmake/18.0
pos_my_ticket,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/pos_my_ticket/18.0
website_whatsapp,18.0,oca,development,18.0.1.0.0,2026-04-26,,migrado,shared/website_whatsapp/18.0
web_responsive,18.0,oca,development,18.0.1.0.0,2026-04-26,,migrado,shared/web_responsive/18.0
website_whatsapp,19.0,oca,development,19.0.1.0.0,2026-04-26,,migrado,shared/website_whatsapp/19.0
web_responsive,19.0,oca,development,19.0.1.0.0,2026-04-26,,migrado,shared/web_responsive/19.0
a_hospital,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/a_hospital/18.0
a_hospital,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/a_hospital/18.0
backend_theme_explorer,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/backend_theme_explorer/18.0
base_menu_visibility_restriction,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/base_menu_visibility_restriction/18.0
base_user_role,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/base_user_role/18.0
web_responsive,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/web_responsive/18.0
website_whatsapp,18.0,cliente1,development,18.0.1.0.0,2026-04-26,,migrado,shared/website_whatsapp/18.0
chat_bot_n8n_ia,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-26,,migrado,shared/chat_bot_n8n_ia/19.0
bcv_rate_update_venezuela,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-26,,migrado,shared/bcv_rate_update_venezuela/19.0
chat_bot_integra,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-26,,migrado,shared/chat_bot_integra/19.0
chat_bot_integra,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-27,,migrado,shared/chat_bot_integra/19.0
bcv_rate_update_venezuela,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-27,,migrado,shared/bcv_rate_update_venezuela/19.0
chat_bot_n8n_ia,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-27,,migrado,shared/chat_bot_n8n_ia/19.0
web_responsive,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-27,,migrado,shared/web_responsive/19.0
web_responsive,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-27,,migrado,shared/web_responsive/19.0
web_responsive,19.0,integraiadev_19,development,19.0.1.0.0,2026-04-27,,migrado,shared/web_responsive/19.0
chat_bot_integra,19.0,integraia,production,19.0.1.0.0,2026-04-27,,migrado,shared/chat_bot_integra/19.0
chat_bot_integra,19.0,integraia,production,19.0.1.0.0,2026-04-27,,migrado,shared/chat_bot_integra/19.0
chat_bot_n8n_ia,19.0,integraia,production,19.0.1.0.0,2026-04-28,,migrado,shared/chat_bot_n8n_ia/19.0
